module	xml_files	tests	skipped	failures	errors	passed
jvm-app	89	775	0	0	0	775
jvm-experience-core	15	140	0	0	0	140
jvm-wear	11	90	0	0	0	90
TOTAL	115	1005	0	0	0	1005
