"group","count","valid","finalStartMeanMs","finalStartMaxMs","finalPublicationMeanMs","finalRuntimeMeanMs","obsoleteDrainMeanMs","peakConcurrencyMax","engineOnMainCount","obsoleteCancelledMin","obsoleteCompletedMax","publicationThreads","engineThreads"
"A","30","30","9.864540000000002","106.8122","810.8737099999998","798.6536600000002","0","1","0","0","0","main","DefaultDispatcher-worker-3"
"C","30","30","5.073400000000001","10.159","792.9577466666668","785.6259899999998","1.2712933333333334","1","0","4","0","main","DefaultDispatcher-worker-2;DefaultDispatcher-worker-3"
