module	xml_files	tests	skipped	failures	errors	passed
jvm-app	93	797	0	0	0	797
jvm-experience-core	15	140	0	0	0	140
jvm-wear	11	90	0	0	0	90
TOTAL	119	1027	0	0	0	1027
