module	xml_files	tests	skipped	failures	errors	passed
jvm-app	97	863	0	0	0	863
jvm-experience-core	19	169	0	0	0	169
jvm-wear	11	90	0	0	0	90
TOTAL	127	1122	0	0	0	1122
