path,repetition,generation,T0_ns,T1_ns,T2_ns,T3_ns,engine_thread,engine_on_main,calculator_returned_on_default,calculator_cancelled,publication_on_main,publication_at_ns,publication_thread,publication_on_main_looper,classification
PRODUCTION_MAIN_DEFAULT_MAIN,7,4,40876976855483,40876977485083,0,40877554396983,DefaultDispatcher-worker-4,false,true,false,true,40877554813183,main,true,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,8,1,40878138695783,40878139638483,40878142594483,40878774383683,DefaultDispatcher-worker-4,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,8,2,40878774898683,40878775574683,40878789448783,40879413428883,DefaultDispatcher-worker-4,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,8,3,40879419475783,40879421475983,40879429991383,40880067869183,DefaultDispatcher-worker-4,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,8,4,40880068256583,40880068779083,0,40880625780783,DefaultDispatcher-worker-4,false,true,false,true,40880625945683,main,true,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,9,1,40881235161483,40881235965383,40881238432983,40881873738483,DefaultDispatcher-worker-4,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,9,2,40881879715183,40881880250783,40881896354383,40882494199283,DefaultDispatcher-worker-3,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,9,3,40882494752183,40882495671983,40882505575483,40883125334283,DefaultDispatcher-worker-3,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,9,4,40883125784083,40883127051583,0,40883672996383,DefaultDispatcher-worker-3,false,true,false,true,40883673237783,main,true,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,10,1,40884270691283,40884272278783,40884281659383,40884926916283,DefaultDispatcher-worker-3,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,10,2,40884927416483,40884927922983,40884936864283,40885560341083,DefaultDispatcher-worker-3,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,10,3,40885561414783,40885562336983,40885577423483,40886155232683,DefaultDispatcher-worker-3,false,false,true,false,0,NONE,false,NO_STALE_PUBLICATION
PRODUCTION_MAIN_DEFAULT_MAIN,10,4,40886156367683,40886157322383,0,40886722752883,DefaultDispatcher-worker-3,false,true,false,true,40886723161083,main,true,NO_STALE_PUBLICATION
