path,repetition,generation,T0_ns,T1_ns,T2_ns,T3_ns,engine_thread,engine_on_main,calculator_returned_on_default,calculator_cancelled,publication_on_main,publication_at_ns,publication_thread,publication_on_main_looper,classification
CONTROL_DEFAULT_DEFAULT,8,2,40908780814783,40908781978583,40908783410283,40909382900483,DefaultDispatcher-worker-4,false,true,false,true,40909385121283,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,8,3,40909384219883,40909384444883,40909385749783,40909991844083,DefaultDispatcher-worker-4,false,true,false,true,40909996835683,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,8,4,40909996408283,40909997161483,0,40910576874683,DefaultDispatcher-worker-4,false,true,false,true,40910578983183,main,true,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,9,1,40911137412683,40911137674483,40911147256483,40911750215483,DefaultDispatcher-worker-4,false,true,false,true,40911750802483,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,9,2,40911750859583,40911751139083,40911752590583,40912389410583,DefaultDispatcher-worker-4,false,true,false,false,0,NONE,false,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,9,3,40912390909083,40912391133583,40912394471883,40912974011783,DefaultDispatcher-worker-4,false,true,false,true,40912976249483,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,9,4,40912975368083,40912975503283,0,40913547309583,DefaultDispatcher-worker-4,false,true,false,true,40913551951583,main,true,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,10,1,40914128329083,40914128575783,40914130091583,40914751516383,DefaultDispatcher-worker-4,false,true,false,true,40914751881983,main,true,STALE_ACCEPTED
CONTROL_DEFAULT_DEFAULT,10,2,40914751778183,40914751994183,40914753793083,40915349561583,DefaultDispatcher-worker-4,false,true,false,false,0,NONE,false,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,10,3,40915350823383,40915350918083,40915353172683,40915959712083,DefaultDispatcher-worker-4,false,true,false,false,0,NONE,false,NO_STALE_PUBLICATION
CONTROL_DEFAULT_DEFAULT,10,4,40915961778983,40915961876683,0,40916529658383,DefaultDispatcher-worker-4,false,true,false,true,40916531816083,main,true,NO_STALE_PUBLICATION
