module	xml_files	tests	skipped	failures	errors	passed
jvm-app	100	883	0	0	0	883
jvm-experience-core	19	169	0	0	0	169
jvm-wear	11	90	0	0	0	90
TOTAL	130	1142	0	0	0	1142
