D-09 phase statistics (ms). n = measured loads per scenario.
Fields: scenario|events|plans -> phase: min / mean / median / p95 / max

== first|100|3 ==
== month|1000|3 ==
p1: 1.964 / 3.578 / 3.416 / 6.69 / 7.49
p2: 2.923 / 4.278 / 3.918 / 6.698 / 9.304
p3: 5.021 / 7.978 / 7.649 / 12.382 / 20.287
p4: 4.968 / 8.141 / 7.912 / 13.245 / 15.484
p5: 0.511 / 1.252 / 0.922 / 1.889 / 7.584
p6: 149.211 / 179.363 / 184.442 / 218.794 / 219.325
p7: 0.099 / 0.26 / 0.212 / 0.527 / 1.07
rr: 169.752 / 206.386 / 211.952 / 243.193 / 245.698
vl: 169.997 / 206.795 / 212.28 / 243.851 / 246.087
c2: 3.012 / 3.909 / 3.614 / 5.568 / 6.255
c3: 0 / 2.311 / 2.318 / 4.087 / 4.519
c4: 0.794 / 3.106 / 2.976 / 6.094 / 8.104
c5: 0 / 1.217 / 1.008 / 1.974 / 4.578
c6: 129.796 / 149.936 / 145.108 / 180.571 / 183.216
c7: 0 / 0.466 / 0.262 / 1.35 / 5.145
contig: 150.734 / 181.355 / 186.646 / 220.215 / 221.455

== reentry|100|3 ==
p1: 2.195 / 2.84 / 2.542 / 4.88 / 5.169
p2: 1.806 / 2.49 / 2.448 / 3.481 / 3.552
p3: 0.972 / 1.517 / 1.482 / 2.208 / 2.413
p4: 1.016 / 1.556 / 1.352 / 2.727 / 2.82
p5: 0.135 / 0.286 / 0.277 / 0.387 / 0.83
p6: 4.606 / 7.594 / 6.93 / 10.946 / 11.408
p7: 0.075 / 0.231 / 0.204 / 0.543 / 0.867
rr: 13.602 / 17.531 / 17.32 / 22.273 / 24.183
vl: 14.076 / 18.332 / 18.052 / 23.392 / 25.781
c2: 1.872 / 2.48 / 2.479 / 3.236 / 3.535
c3: 0 / 0.663 / 0.621 / 0.864 / 2.159
c4: 0.29 / 0.626 / 0.573 / 1.205 / 1.314
c5: 0.201 / 0.351 / 0.347 / 0.478 / 0.801
c6: 1.345 / 5.421 / 3.628 / 10.682 / 11.463
c7: 0 / 0.399 / 0.064 / 3.801 / 3.904
contig: 5.402 / 8.399 / 8 / 11.792 / 12.15

== reentry|1000|3 ==
p1: 2.381 / 3.123 / 2.788 / 5.92 / 6.095
p2: 1.823 / 2.549 / 2.358 / 4.108 / 5.454
p3: 3.019 / 4.69 / 4.264 / 7.987 / 10.517
